0xd83	0xd84
0xd84	0xd89
0xd89	0xd8c
0xd8c	0xd8e
0xd8e	0xd90
0xd90	0xd92
0xd92	0xd94
0xd94	0xd95
0xd95	0xd97
0xd97	0xd98
0xd98	0xd9b
0xd9b	0xd9c
0xd9c	0xda1
0xda1	0xda2
0xda2	0xda5
0xda5	0xda6
0xda6	0xda7
0xda7	0xdac
0xdac	0xdaf
0xdaf	0xdb4
0xdb4	0xdb7
0xdb7	0xdba
0xdba	0xdbc
0xdbc	0xdbf
0xdbf	0xdc1
0xdc1	0xdc2
0xdc2	0xdce
0xde6	0xde9
0xde9	0xdeb
0xdeb	0xdec
0xdec	0xded
0xded	0xdf0
0xdf0	0xdf1
0xdf1	0xdf4
0xdf4	0xdf7
0xdf7	0xdfa
0xdfa	0xdfc
0xdfe	0xe00
0xe00	0xe02
0xe02	0xe04
0xe04	0xe06
0xe06	0xe07
0xe07	0xe09
0xe09	0xe0a
0xe0a	0xe0b
0xe0b	0xe0e
0xe0e	0xe0f
0xe0f	0xe12
0xe12	0xe15
0xe15	0xe18
0xe18	0xe1a
0xe1a	0xe1b
0xe1b	0xe1d
0xe1d	0xe1f
0xe21	0xe24
0xe24	0xe27
0xe27	0xe28
0xe28	0xe29
0xe29	0xe2c
0xe2c	0xe2d
0xe2d	0xe30
0xe30	0xe33
0xe33	0xe34
0xe34	0xe36
0xe36	0xe39
0xe39	0xe3d
0xe3d	0xe40
0xe40	0xe44
0xe44	0xe45
0xe45	0xe4a
0xe4a	0xe4c
0xe4c	0xe4e
0xe4e	0xe52
0xe52	0xe56
0xe56	0xe57
0xe57	0xe58
0xe58	0xe5b
0xe5b	0xe5c
0xe5c	0xe5f
0xe5f	0xe63
0xe63	0xe67
0xe67	0xe68
0xe68	0xe69
0xe69	0xe6c
0xe6c	0xe6e
0xe6e	0xe6f
0xe6f	0xe71
0xe71	0xe73
0xe73	0xe75
0xe75	0xe76
0xe76	0xe78
0xe78	0xe79
0xe79	0xe7a
0xe7a	0xe7d
0xe7d	0xe7e
0xe7e	0xe82
0xe82	0xe85
0xe85	0xe86
0xe86	0xe89
0xe89	0xe8b
0xe8b	0xe8c
0xe8c	0xe8f
0xe8f	0xe90
0xe90	0xe94
0xe94	0xe98
0xe98	0xe99
0xe99	0xe9a
0xe9a	0xe9c
0xe9c	0xe9f
0xe9f	0xea3
0xea3	0xea6
0xea6	0xeaa
0xeaa	0xeaf
0xeaf	0xeb0
0xeb0	0xeb1
0xeb1	0xeb2
0xeb2	0xeb3
